venta_id,fecha,producto_id,cantidad,precio_unitario,cliente_id,sucursal_id,total
39,2023-01-01 00:38:00,485,13,414.0037665391621,39683,88,5382.048965009107
56,2023-01-01 00:55:00,263,10,437.14089467332633,35038,60,4371.408946733263
60,2023-01-01 00:59:00,750,18,480.7475166150459,47895,49,8653.455299070827
64,2023-01-01 01:03:00,83,7,138.92948724570627,15916,34,972.506410719944
109,2023-01-01 01:48:00,605,13,247.0526255379812,2456,76,3211.6841319937557
132,2023-01-01 02:11:00,474,16,123.04613625754855,33315,94,1968.7381801207769
182,2023-01-01 03:01:00,948,1,404.7570389888992,44951,19,404.7570389888992
201,2023-01-01 03:20:00,281,9,243.72166411962957,27924,15,2193.4949770766657
238,2023-01-01 03:57:00,725,9,18.771727941838662,30632,98,168.945551476548
261,2023-01-01 04:20:00,822,2,287.6458373040132,47445,55,575.2916746080264
296,2023-01-01 04:55:00,818,2,413.2635346649815,43028,26,826.527069329963
301,2023-01-01 05:00:00,350,17,181.70923535002024,20474,28,3089.057000950344
374,2023-01-01 06:13:00,90,5,286.6027846107583,22577,70,1433.0139230537916
375,2023-01-01 06:14:00,15,9,258.171292800006,11920,25,2323.541635200054
403,2023-01-01 06:42:00,526,1,30.98916040075812,49470,80,30.98916040075812
405,2023-01-01 06:44:00,557,1,207.1802409349032,37721,69,207.1802409349032
421,2023-01-01 07:00:00,299,16,485.064202678523,42809,54,7761.027242856368
461,2023-01-01 07:40:00,938,10,249.6569565374081,10340,27,2496.569565374081
496,2023-01-01 08:15:00,724,19,234.6028084614084,15419,47,4457.45336076676
507,2023-01-01 08:26:00,401,18,366.5080073082716,46680,31,6597.144131548889
513,2023-01-01 08:32:00,152,18,424.8762944003591,26350,77,7647.773299206464
520,2023-01-01 08:39:00,898,9,310.8874680767377,19531,1,2797.98721269064
554,2023-01-01 09:13:00,563,18,240.9575860287531,45774,34,4337.236548517556
563,2023-01-01 09:22:00,833,8,69.96473324505278,38768,64,559.7178659604223
569,2023-01-01 09:28:00,399,13,343.39999773342475,10112,93,4464.1999705345215
631,2023-01-01 10:30:00,692,4,155.80031789812415,8372,18,623.2012715924966
659,2023-01-01 10:58:00,742,2,33.94211871826488,32568,20,67.88423743652976
767,2023-01-01 12:46:00,261,9,53.87268143156032,19391,99,484.8541328840428
768,2023-01-01 12:47:00,468,12,256.9878785570557,13301,75,3083.854542684669
805,2023-01-01 13:24:00,62,15,97.20342706075552,39,45,1458.051405911333
841,2023-01-01 14:00:00,304,7,221.74403276653533,40879,8,1552.2082293657472
859,2023-01-01 14:18:00,903,13,258.9477315034148,39016,20,3366.320509544392
911,2023-01-01 15:10:00,293,7,12.395350846894832,43834,92,86.76745592826383
978,2023-01-01 16:17:00,139,6,189.01928943600333,48342,78,1134.11573661602
1008,2023-01-01 16:47:00,158,3,486.2987012754638,45,87,1458.8961038263917
1013,2023-01-01 16:52:00,248,6,462.25121863400506,21157,41,2773.5073118040305
1022,2023-01-01 17:01:00,920,3,33.074795116688094,38133,87,99.22438535006428
1066,2023-01-01 17:45:00,609,10,445.6426475681744,49523,75,4456.426475681745
1079,2023-01-01 17:58:00,830,2,223.49342616368756,3137,7,446.9868523273751
1086,2023-01-01 18:05:00,487,16,472.6062356907119,43322,16,7561.69977105139
1093,2023-01-01 18:12:00,725,13,324.3533528149147,38095,42,4216.593586593891
1166,2023-01-01 19:25:00,889,5,403.5717506813826,22720,63,2017.858753406913
1194,2023-01-01 19:53:00,518,17,261.12538530870006,42242,58,4439.131550247901
1259,2023-01-01 20:58:00,194,6,206.20014277508167,44888,79,1237.20085665049
1382,2023-01-01 23:01:00,559,1,498.9378448778573,13410,5,498.9378448778573
1426,2023-01-01 23:45:00,396,11,344.2975238024648,10089,77,3787.272761827113
1506,2023-01-02 01:05:00,391,9,263.23307864459264,42163,47,2369.097707801334
